Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Daily Return,MA50,MA200
2010-06-29,3.8,5.0,3.508,4.778,4.778,93831500,2010,2010-06,,,
2010-06-30,5.158,6.084,4.66,4.766,4.766,85935500,2010,2010-06,-0.002511511092507246,,
2010-07-01,5.0,5.184,4.054,4.392,4.392,41094000,2010,2010-07,-0.07847251363827101,,
2010-07-02,4.6,4.62,3.742,3.84,3.84,25699000,2010,2010-07,-0.12568306010928976,,
2010-07-06,4.0,4.0,3.166,3.222,3.222,34334500,2010,2010-07,-0.16093749999999996,,
2010-07-07,3.28,3.326,2.996,3.16,3.16,34608500,2010,2010-07,-0.019242706393544307,,
2010-07-08,3.228,3.504,3.114,3.492,3.492,38557000,2010,2010-07,0.1050632911392404,,
2010-07-09,3.516,3.58,3.31,3.48,3.48,20253000,2010,2010-07,-0.0034364261168384758,,
2010-07-12,3.59,3.614,3.4,3.41,3.41,11012500,2010,2010-07,-0.02011494252873558,,
2010-07-13,3.478,3.728,3.38,3.628,3.628,13400500,2010,2010-07,0.06392961876832848,,
2010-07-14,3.588,4.03,3.552,3.968,3.968,20976000,2010,2010-07,0.093715545755237,,
2010-07-15,3.988,4.3,3.8,3.978,3.978,18699000,2010,2010-07,0.002520161290322731,,
2010-07-16,4.14,4.26,4.01,4.128,4.128,13106500,2010,2010-07,0.037707390648566985,,
2010-07-19,4.274,4.45,4.184,4.382,4.382,12432500,2010,2010-07,0.06153100775193798,,
2010-07-20,4.37,4.37,4.01,4.06,4.06,9126500,2010,2010-07,-0.07348242811501604,,
2010-07-21,4.132,4.18,3.9,4.044,4.044,6262500,2010,2010-07,-0.003940886699507429,,
2010-07-22,4.1,4.25,4.074,4.2,4.2,4789000,2010,2010-07,0.03857566765578646,,
2010-07-23,4.238,4.312,4.212,4.258,4.258,3268000,2010,2010-07,0.013809523809523716,,
2010-07-26,4.3,4.3,4.06,4.19,4.19,4611000,2010,2010-07,-0.015969938938468653,,
2010-07-27,4.182,4.236,4.052,4.11,4.11,3098500,2010,2010-07,-0.019093078758949944,,
2010-07-28,4.11,4.18,4.102,4.144,4.144,2336000,2010,2010-07,0.008272506082725117,,
2010-07-29,4.154,4.176,4.0,4.07,4.07,3080000,2010,2010-07,-0.017857142857142794,,
2010-07-30,4.04,4.088,3.91,3.988,3.988,2134500,2010,2010-07,-0.020147420147420214,,
2010-08-02,4.1,4.194,4.066,4.184,4.184,3590500,2010,2010-08,0.049147442326981094,,
2010-08-03,4.2,4.39,4.164,4.39,4.39,6152500,2010,2010-08,0.04923518164435925,,
2010-08-04,4.39,4.436,4.17,4.252,4.252,4565000,2010,2010-08,-0.031435079726651494,,
2010-08-05,4.308,4.31,4.01,4.09,4.09,3981000,2010,2010-08,-0.038099717779868314,,
2010-08-06,4.02,4.032,3.904,3.918,3.918,3709500,2010,2010-08,-0.04205378973105123,,
2010-08-09,3.98,3.996,3.89,3.92,3.92,4063500,2010,2010-08,0.0005104645227156368,,
2010-08-10,3.93,3.93,3.764,3.806,3.806,6406500,2010,2010-08,-0.029081632653061185,,
2010-08-11,3.738,3.776,3.57,3.58,3.58,3988000,2010,2010-08,-0.05937992643194956,,
2010-08-12,3.56,3.58,3.478,3.52,3.52,3455000,2010,2010-08,-0.016759776536312887,,
2010-08-13,3.636,3.69,3.532,3.664,3.664,3170000,2010,2010-08,0.040909090909091006,,
2010-08-16,3.69,3.76,3.652,3.756,3.756,2429000,2010,2010-08,0.02510917030567672,,
2010-08-17,3.792,3.88,3.756,3.83,3.83,2239500,2010,2010-08,0.01970181043663488,,
2010-08-18,3.918,3.918,3.72,3.754,3.754,3006500,2010,2010-08,-0.01984334203655358,,
2010-08-19,3.708,3.85,3.666,3.758,3.758,2895500,2010,2010-08,0.0010655301012254537,,
2010-08-20,3.73,3.822,3.702,3.82,3.82,1480000,2010,2010-08,0.016498137307078276,,
2010-08-23,3.818,4.078,3.8,4.026,4.026,5440500,2010,2010-08,0.05392670157068058,,
2010-08-24,3.85,3.942,3.79,3.84,3.84,3365500,2010,2010-08,-0.046199701937406856,,
2010-08-25,3.832,3.996,3.712,3.98,3.98,2516500,2010,2010-08,0.03645833333333326,,
2010-08-26,3.978,4.054,3.92,3.95,3.95,2169000,2010,2010-08,-0.007537688442211032,,
2010-08-27,3.95,3.974,3.9,3.94,3.94,1898000,2010,2010-08,-0.0025316455696202667,,
2010-08-30,3.94,4.038,3.922,3.974,3.974,3664000,2010,2010-08,0.00862944162436552,,
2010-08-31,3.932,3.958,3.866,3.896,3.896,1005500,2010,2010-08,-0.01962757926522407,,
2010-09-01,3.924,4.138,3.92,4.09,4.09,2474500,2010,2010-09,0.049794661190964984,,
2010-09-02,4.074,4.248,4.062,4.212,4.212,2435500,2010,2010-09,0.029828850855745603,,
2010-09-03,4.174,4.26,4.132,4.21,4.21,2173000,2010,2010-09,-0.0004748338081670411,,
2010-09-07,4.122,4.2,4.1,4.108,4.108,1217000,2010,2010-09,-0.02422802850356298,,
2010-09-08,4.132,4.19,4.12,4.18,4.18,1442000,2010,2010-09,0.017526777020447915,3.9667200000000005,
2010-09-09,4.2,4.21,4.138,4.142,4.142,1881000,2010,2010-09,-0.009090909090908927,3.954,
2010-09-10,4.15,4.186,3.952,4.034,4.034,1933000,2010,2010-09,-0.026074360212457903,3.9393599999999998,
2010-09-13,4.178,4.18,4.1,4.144,4.144,1804000,2010,2010-09,0.027268220128904286,3.9344,
2010-09-14,4.108,4.32,4.106,4.224,4.224,3273500,2010,2010-09,0.019305019305019266,3.94208,
2010-09-15,4.196,4.4,4.158,4.396,4.396,3423000,2010,2010-09,0.040719696969696795,3.9655600000000004,
2010-09-16,4.43,4.632,4.168,4.188,4.188,13422500,2010,2010-09,-0.047315741583257576,3.98612,
2010-09-17,4.204,4.264,3.96,4.046,4.046,5992500,2010,2010-09,-0.03390639923591199,3.9972,
2010-09-20,4.134,4.27,4.032,4.212,4.212,4737500,2010,2010-09,0.04102817597627273,4.01184,
2010-09-21,4.178,4.31,4.134,4.154,4.154,3980000,2010,2010-09,-0.01377018043684708,4.02672,
2010-09-22,4.174,4.19,3.96,3.974,3.974,4814500,2010,2010-09,-0.04333172845450162,4.03364,
2010-09-23,3.978,4.028,3.9,3.912,3.912,3340500,2010,2010-09,-0.015601409159537005,4.03252,
2010-09-24,3.99,4.038,3.93,4.02,4.02,2894500,2010,2010-09,0.027607361963190025,4.03336,
2010-09-27,4.08,4.162,4.01,4.106,4.106,2093000,2010,2010-09,0.021393034825870627,4.032920000000001,
2010-09-28,4.208,4.298,4.152,4.28,4.28,6072500,2010,2010-09,0.0423770092547493,4.03088,
2010-09-29,4.238,4.406,4.226,4.396,4.396,9846500,2010,2010-09,0.027102803738317638,4.0376,
2010-09-30,4.4,4.43,4.038,4.082,4.082,10979000,2010,2010-09,-0.0714285714285714,4.03836,
2010-10-01,4.138,4.15,4.062,4.12,4.12,2988500,2010,2010-10,0.009309162175404229,4.03676,
2010-10-04,4.086,4.234,4.06,4.198,4.198,3218000,2010,2010-10,0.018932038834951426,4.03556,
2010-10-05,4.23,4.256,4.202,4.224,4.224,1660000,2010,2010-10,0.006193425440685907,4.036239999999999,
2010-10-06,4.212,4.252,4.064,4.092,4.092,1567000,2010,2010-10,-0.03125000000000011,4.035880000000001,
2010-10-07,4.114,4.128,4.068,4.086,4.086,705000,2010,2010-10,-0.0014662756598239346,4.03472,
2010-10-08,4.086,4.158,4.078,4.086,4.086,1339000,2010,2010-10,0.0,4.03504,
2010-10-11,4.088,4.14,4.014,4.048,4.048,856000,2010,2010-10,-0.00930004894762615,4.03624,
2010-10-12,4.04,4.056,4.006,4.048,4.048,1220000,2010,2010-10,0.0,4.033519999999999,
2010-10-13,4.128,4.17,4.072,4.108,4.108,1591000,2010,2010-10,0.014822134387351582,4.02788,
2010-10-14,4.2,4.206,4.08,4.15,4.15,1474000,2010,2010-10,0.010223953261928154,4.02584,
2010-10-15,4.178,4.18,4.05,4.108,4.108,1423500,2010,2010-10,-0.010120481927710978,4.026199999999999,
2010-10-18,4.104,4.128,4.044,4.046,4.046,814000,2010,2010-10,-0.015092502434274402,4.02876,
2010-10-19,4.04,4.082,4.0,4.01,4.01,1226000,2010,2010-10,-0.008897676717745995,4.0305599999999995,
2010-10-20,4.032,4.138,4.008,4.13,4.13,1562500,2010,2010-10,0.029925187032419087,4.03704,
2010-10-21,4.122,4.19,4.09,4.15,4.15,2085500,2010,2010-10,0.004842615012106588,4.04844,
2010-10-22,4.136,4.186,4.11,4.144,4.144,805500,2010,2010-10,-0.0014457831325301873,4.060919999999999,
2010-10-25,4.188,4.196,4.146,4.17,4.17,592500,2010,2010-10,0.006274131274131234,4.07104,
2010-10-26,4.16,4.374,4.102,4.272,4.272,3304500,2010,2010-10,0.024460431654676373,4.08136,
2010-10-27,4.25,4.276,4.13,4.2,4.2,1782500,2010,2010-10,-0.016853932584269704,4.08876,
2010-10-28,4.278,4.3,4.192,4.238,4.238,1121000,2010,2010-10,0.009047619047619193,4.09844,
2010-10-29,4.228,4.37,4.21,4.368,4.368,1403000,2010,2010-10,0.030674846625766916,4.11064,
2010-11-01,4.388,4.55,4.262,4.282,4.282,2279000,2010,2010-11,-0.01968864468864473,4.11988,
2010-11-02,4.336,4.376,4.21,4.25,4.25,1612500,2010,2010-11,-0.007473143390938852,4.12436,
2010-11-03,4.256,4.5,4.232,4.354,4.354,1863000,2010,2010-11,0.024470588235294244,4.13464,
2010-11-04,4.52,5.066,4.43,4.98,4.98,9370000,2010,2010-11,0.1437758383096004,4.15464,
2010-11-05,4.974,4.994,4.744,4.888,4.888,5055000,2010,2010-11,-0.01847389558232937,4.1734,
2010-11-08,4.9,5.0,4.806,4.996,4.996,2547500,2010,2010-11,0.02209492635024568,4.19452,
2010-11-09,5.0,5.138,4.81,4.926,4.926,4782000,2010,2010-11,-0.014011208967173783,4.21356,
2010-11-10,4.896,5.994,4.81,5.872,5.872,15302500,2010,2010-11,0.1920422249289484,4.25308,
2010-11-11,5.72,5.82,5.466,5.608,5.608,9726500,2010,2010-11,-0.04495912806539515,4.28344,
2010-11-12,5.65,6.1,5.614,5.968,5.968,13645500,2010,2010-11,0.06419400855920121,4.31856,
2010-11-15,6.044,6.588,6.044,6.16,6.16,13114500,2010,2010-11,0.03217158176943702,4.35756,
2010-11-16,6.2,6.28,5.684,5.934,5.934,6738000,2010,2010-11,-0.03668831168831166,4.39408,
2010-11-17,6.04,6.15,5.722,5.898,5.898,3750000,2010,2010-11,-0.006066734074823166,4.42844,
